subject,file,link,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L259,259,52,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L283,283,37,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L368,368,48,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L506,506,31,2,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L526,526,31,2,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/menu.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/menu.py#L557,557,39,2,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/gui/stats.py,https://github.com/deepfakes/faceswap/blame/master/lib/gui/stats.py#L624,624,20,1,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/lib/model/initializers.py,https://github.com/deepfakes/faceswap/blame/master/lib/model/initializers.py#L245,245,45,2,8,0,0,0,False
pix2code,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/pix2code/model/classes/BeamSearch.py,https://github.com/tonybeltramelli/pix2code/blame/master/model/classes/BeamSearch.py#L20,20,21,1,2,0,0,0,False
pix2code,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/pix2code/model/classes/BeamSearch.py,https://github.com/tonybeltramelli/pix2code/blame/master/model/classes/BeamSearch.py#L44,44,23,1,2,0,0,0,False
pix2code,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/pix2code/model/classes/BeamSearch.py,https://github.com/tonybeltramelli/pix2code/blame/master/model/classes/BeamSearch.py#L99,99,21,1,2,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/demo_cli.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/demo_cli.py#L111,111,16,0,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/encoder/model.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/encoder/model.py#L127,127,54,1,10,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/encoder/model.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/encoder/model.py#L133,133,38,1,10,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/feeder.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/feeder.py#L153,153,15,1,3,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/feeder.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/feeder.py#L170,170,15,1,3,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/modules.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/modules.py#L67,67,9,1,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/modules.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/modules.py#L407,407,9,1,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/modules.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/modules.py#L432,432,8,0,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/modules.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/modules.py#L433,433,31,0,5,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/helpers.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/helpers.py#L123,123,30,0,6,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/helpers.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/helpers.py#L124,124,38,0,7,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/helpers.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/helpers.py#L158,158,37,0,4,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/helpers.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/helpers.py#L159,159,10,0,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/custom_decoder.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/custom_decoder.py#L69,69,55,1,8,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/custom_decoder.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/custom_decoder.py#L73,73,13,1,4,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/custom_decoder.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/custom_decoder.py#L90,90,13,1,1,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/synthesizer/models/architecture_wrappers.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/synthesizer/models/architecture_wrappers.py#L154,154,55,1,5,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/utterance.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/utterance.py#L4,4,26,2,5,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/utterance.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/utterance.py#L5,5,20,1,4,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L83,83,31,0,3,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L84,84,91,1,9,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L84,84,77,0,8,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L101,101,52,0,7,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L103,103,67,0,8,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L105,105,75,0,10,1,0,0,True
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L114,114,29,0,3,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L116,116,33,0,3,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L121,121,41,0,7,0,0,0,False
