subject,file,link,lineno,LMC,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L63,63,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L67,67,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L68,68,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L68,68,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L68,68,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L72,72,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L75,75,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L76,76,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L77,77,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L79,79,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L81,81,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L82,82,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L83,83,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L90,90,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L113,113,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L121,121,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L136,136,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L137,137,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L138,138,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L172,172,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L175,175,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L176,176,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L178,178,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L180,180,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L184,184,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L297,297,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L322,322,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L358,358,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L391,391,2,0,0,0,False
