subject,file,link,lineno,CLOC,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/realface.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/realface.py#L20,20,12,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dfl_sae.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dfl_sae.py#L15,15,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/trainer/original.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/trainer/original.py#L7,7,2,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L33,33,31,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L660,660,13,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/_config.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/_config.py#L15,15,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L26,26,17,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/cv2_dnn.py#L9,9,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L18,18,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L68,68,3,0,0,0,False
